Date,Customer,Product,Category,Quantity,Price,Discount(%),TotalAmount,Region,Salesperson
2025-01-01,A,Sunglasses,Accessories,5,800,10,3600.0,South,Priya
2025-01-02,F,Sunglasses,Accessories,3,800,0,2400.0,West,Priya
2025-01-03,H,Bag,Accessories,5,1200,5,5700.0,North,Amit
2025-01-04,H,Headphones,Electronics,3,2500,15,6375.0,North,Priya
2025-01-05,A,Headphones,Electronics,3,2500,15,6375.0,South,Priya
2025-01-06,F,Perfume,Beauty,2,900,15,1530.0,West,Priya
2025-01-07,C,T-shirt,Clothing,4,700,15,2380.0,East,Rahul
2025-01-08,D,Laptop,Electronics,5,45000,10,202500.0,South,Sneha
2025-01-09,G,T-shirt,Clothing,2,700,15,1190.0,West,Amit
2025-01-10,B,Perfume,Beauty,5,900,0,4500.0,West,Neha
2025-01-11,A,Sunglasses,Accessories,5,800,15,3400.0,North,Neha
2025-01-12,E,Sunglasses,Accessories,4,800,5,3040.0,South,Amit
2025-01-13,E,Perfume,Beauty,3,900,10,2430.0,South,Sneha
2025-01-14,A,Headphones,Electronics,2,2500,5,4750.0,South,Rahul
2025-01-15,B,Headphones,Electronics,4,2500,0,10000.0,East,Sneha
2025-01-16,A,Bag,Accessories,4,1200,0,4800.0,South,Amit
2025-01-17,A,Laptop,Electronics,1,45000,10,40500.0,South,Priya
2025-01-18,C,T-shirt,Clothing,1,700,15,595.0,East,Sneha
2025-01-19,E,T-shirt,Clothing,4,700,5,2660.0,East,Neha
2025-01-20,C,Headphones,Electronics,1,2500,10,2250.0,South,Karan
2025-01-21,D,Headphones,Electronics,4,2500,0,10000.0,South,Sneha
2025-01-22,E,Bag,Accessories,3,1200,10,3240.0,South,Priya
2025-01-23,F,Bag,Accessories,2,1200,10,2160.0,South,Sneha
2025-01-24,C,Sunglasses,Accessories,1,800,10,720.0,West,Amit
2025-01-25,F,Bag,Accessories,5,1200,5,5700.0,South,Priya
2025-01-26,B,Watch,Accessories,2,2500,5,4750.0,North,Karan
2025-01-27,D,T-shirt,Clothing,4,700,5,2660.0,West,Amit
2025-01-28,G,Laptop,Electronics,1,45000,15,38250.0,North,Rahul
2025-01-29,D,Headphones,Electronics,1,2500,5,2375.0,West,Rahul
2025-01-30,D,Headphones,Electronics,1,2500,10,2250.0,East,Rahul
2025-01-31,A,Laptop,Electronics,1,45000,15,38250.0,West,Sneha
2025-02-01,G,Perfume,Beauty,4,900,10,3240.0,West,Rahul
2025-02-02,G,Watch,Accessories,5,2500,5,11875.0,East,Sneha
2025-02-03,E,Laptop,Electronics,2,45000,15,76500.0,North,Sneha
2025-02-04,D,Perfume,Beauty,4,900,15,3060.0,North,Amit
2025-02-05,A,Perfume,Beauty,3,900,15,2295.0,North,Neha
2025-02-06,A,Laptop,Electronics,1,45000,10,40500.0,North,Rahul
2025-02-07,B,Bag,Accessories,2,1200,5,2280.0,East,Sneha
2025-02-08,E,Headphones,Electronics,2,2500,10,4500.0,South,Sneha
2025-02-09,A,Perfume,Beauty,4,900,5,3420.0,West,Neha
2025-02-10,E,Sunglasses,Accessories,1,800,0,800.0,West,Karan
2025-02-11,H,Perfume,Beauty,2,900,0,1800.0,North,Rahul
2025-02-12,H,Watch,Accessories,5,2500,0,12500.0,South,Neha
2025-02-13,C,Perfume,Beauty,1,900,5,855.0,East,Rahul
2025-02-14,E,Bag,Accessories,5,1200,10,5400.0,East,Karan
2025-02-15,E,T-shirt,Clothing,3,700,10,1890.0,West,Rahul
2025-02-16,E,Laptop,Electronics,4,45000,5,171000.0,North,Rahul
2025-02-17,G,Sunglasses,Accessories,3,800,0,2400.0,South,Priya
2025-02-18,H,Bag,Accessories,1,1200,0,1200.0,South,Rahul
2025-02-19,C,Headphones,Electronics,5,2500,0,12500.0,East,Neha
2025-02-20,G,Bag,Accessories,2,1200,0,2400.0,West,Karan
2025-02-21,C,Perfume,Beauty,4,900,15,3060.0,North,Neha
2025-02-22,C,Shoes,Footwear,3,1500,10,4050.0,North,Amit
2025-02-23,C,Bag,Accessories,1,1200,15,1020.0,South,Priya
2025-02-24,D,Watch,Accessories,1,2500,5,2375.0,East,Karan
2025-02-25,C,Sunglasses,Accessories,5,800,15,3400.0,West,Sneha
2025-02-26,E,Perfume,Beauty,4,900,5,3420.0,South,Sneha
2025-02-27,F,Bag,Accessories,4,1200,5,4560.0,West,Rahul
2025-02-28,F,T-shirt,Clothing,1,700,15,595.0,West,Amit
2025-03-01,A,Laptop,Electronics,1,45000,15,38250.0,South,Neha
2025-03-02,D,Headphones,Electronics,3,2500,10,6750.0,West,Amit
2025-03-03,G,Laptop,Electronics,1,45000,0,45000.0,North,Amit
2025-03-04,C,Headphones,Electronics,1,2500,5,2375.0,South,Neha
2025-03-05,C,Headphones,Electronics,5,2500,10,11250.0,South,Karan
2025-03-06,A,Headphones,Electronics,4,2500,0,10000.0,North,Neha
2025-03-07,A,Laptop,Electronics,1,45000,5,42750.0,South,Sneha
2025-03-08,F,T-shirt,Clothing,1,700,15,595.0,North,Sneha
2025-03-09,B,Bag,Accessories,4,1200,5,4560.0,North,Amit
2025-03-10,E,Perfume,Beauty,3,900,5,2565.0,East,Karan
2025-03-11,D,Headphones,Electronics,3,2500,10,6750.0,East,Karan
2025-03-12,B,T-shirt,Clothing,3,700,15,1785.0,West,Priya
2025-03-13,D,Watch,Accessories,1,2500,0,2500.0,East,Amit
2025-03-14,A,Perfume,Beauty,2,900,5,1710.0,East,Karan
2025-03-15,F,Watch,Accessories,1,2500,10,2250.0,East,Sneha
2025-03-16,G,Laptop,Electronics,4,45000,10,162000.0,East,Amit
2025-03-17,C,Perfume,Beauty,4,900,0,3600.0,South,Sneha
2025-03-18,C,Sunglasses,Accessories,5,800,10,3600.0,South,Rahul
2025-03-19,F,Sunglasses,Accessories,1,800,15,680.0,South,Priya
2025-03-20,B,Bag,Accessories,5,1200,15,5100.0,North,Neha
2025-03-21,E,Headphones,Electronics,1,2500,0,2500.0,North,Rahul
2025-03-22,F,Sunglasses,Accessories,4,800,0,3200.0,West,Rahul
2025-03-23,G,Bag,Accessories,1,1200,0,1200.0,South,Sneha
2025-03-24,C,T-shirt,Clothing,1,700,10,630.0,South,Rahul
2025-03-25,C,T-shirt,Clothing,4,700,5,2660.0,East,Amit
2025-03-26,F,Watch,Accessories,2,2500,5,4750.0,South,Sneha
2025-03-27,D,Watch,Accessories,5,2500,10,11250.0,North,Priya
2025-03-28,F,T-shirt,Clothing,1,700,15,595.0,East,Rahul
2025-03-29,C,Shoes,Footwear,3,1500,15,3825.0,West,Amit
2025-03-30,H,Watch,Accessories,4,2500,15,8500.0,South,Karan
2025-03-31,F,Bag,Accessories,2,1200,15,2040.0,West,Rahul
2025-04-01,B,Watch,Accessories,3,2500,0,7500.0,West,Amit
2025-04-02,H,Laptop,Electronics,1,45000,10,40500.0,West,Amit
2025-04-03,B,Sunglasses,Accessories,5,800,10,3600.0,East,Priya
2025-04-04,B,Shoes,Footwear,2,1500,5,2850.0,West,Amit
2025-04-05,A,Bag,Accessories,5,1200,15,5100.0,West,Sneha
2025-04-06,A,Sunglasses,Accessories,3,800,15,2040.0,North,Amit
2025-04-07,H,Shoes,Footwear,2,1500,15,2550.0,South,Neha
2025-04-08,H,Headphones,Electronics,1,2500,15,2125.0,South,Priya
2025-04-09,B,Perfume,Beauty,4,900,0,3600.0,West,Sneha
2025-04-10,E,Bag,Accessories,3,1200,5,3420.0,South,Karan
2025-04-11,B,Laptop,Electronics,1,45000,5,42750.0,East,Priya
2025-04-12,C,Bag,Accessories,5,1200,5,5700.0,North,Priya
2025-04-13,D,Laptop,Electronics,4,45000,0,180000.0,South,Rahul
2025-04-14,G,Perfume,Beauty,4,900,5,3420.0,West,Karan
2025-04-15,G,Headphones,Electronics,4,2500,10,9000.0,South,Neha
2025-04-16,E,Headphones,Electronics,5,2500,10,11250.0,South,Rahul
2025-04-17,B,T-shirt,Clothing,4,700,15,2380.0,West,Amit
2025-04-18,H,Headphones,Electronics,1,2500,0,2500.0,North,Karan
2025-04-19,H,Bag,Accessories,1,1200,5,1140.0,East,Amit
2025-04-20,F,Laptop,Electronics,4,45000,0,180000.0,East,Amit
2025-04-21,E,T-shirt,Clothing,3,700,0,2100.0,South,Sneha
2025-04-22,A,Watch,Accessories,5,2500,10,11250.0,North,Sneha
2025-04-23,E,T-shirt,Clothing,4,700,10,2520.0,West,Priya
2025-04-24,H,Bag,Accessories,3,1200,15,3060.0,West,Priya
2025-04-25,E,Shoes,Footwear,2,1500,10,2700.0,West,Rahul
2025-04-26,B,T-shirt,Clothing,3,700,0,2100.0,West,Amit
